SrNo,Date,a,Nature of Accident,Classification of Accident,Causes,Road Feature,Road Condition,Intersection Type and Control,Weather Condition,Vehicle Responsible,Fatal,Grevious,Minor,Injured,Help Provided by Ambulance/Patrol,Remarks
1,09/09/2016,20:35,overspeed,2,2 & 5,fourlane,straight,junction,fine,Car over speed and hit to road crossing Pedestrian,0,2,0,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital
2,09/09/2016,20:35,overspeed,2,2 & 5,fourlane,straight,junction,fine,Fault of other vehicle while crossing the road two wheeler car hit,0,2,0,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital
3,09/09/2016,19:30,headoncollision,1 & 2,1,fourlane,straight,junction,fine,Two wheeler over speed and hit to two wheeler,1,1,0,0,Ambulance/Petrol Vehicle,The fatal body and injured person shifted to Govt Hoskote
4,09/09/2015,05:30,skidding,2,7,fourlane,straight,junction,fine,Fault of road crossing pedestrian,0,1,0,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital
5,09/09/2015,22:45,headoncollision,2,2 & 5,fourlane,straight,junction,fine,Truck over speed and hit to Truck,0,3,0,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital
6,09/09/2015,00:45,overspeed,2,2 & 3,fourlane,slightcurve,junction,fine,Truck over speed and Hit to the Two wheeler,0,2,0,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital
7,09/09/2015,19:45,skidding,2,2 & 4,fourlane,straight,junction,fine,Two wheeler over speed and hit to Tractor,0,2,0,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital
8,09/09/2015,12:45,headoncollision,2,1 & 2,fourlane,straight,tjunction,fine,Two wheeler over speed and hit to Two wheeler,0,2,0,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital
9,09/08/2017,20:30,headoncollision,1,2 & 5,fourlane,straight,junction,fine,car over speed and hit to two wheeler,0,2,0,0,Ambulance,The injured person shifted to MVJ Hospital
10,09/08/2017,23:45,overspeed,2,2 & 3,fourlane,straight,junction,fine,Car over speed self accident,0,3,0,0,Ambulance,The injured person shifted to Silcon city Hospital
11,09/08/2016,22:40,skidding,3,1,fourlane,straight,junction,fine,Two wheeler self accident Drunk & Drive,0,0,1,0,Ambulance/Petrol Vehicle,The injured person shifted to Jalappa Hospital
12,09/08/2015,22:45,overspeed,1 & 2,2 & 3 & 5,fourlane,slightcurve,junction,fine,Car Hit to the Multi axle,1,3,0,0,Ambulance/Petrol Vehicle,The Fatal & Injured person shifted to MVJ Hospital
13,09/08/2014,19:30,overspeed,1 & 3,2,fourlane,straight,junction,fine,Bike,1,0,1,0,Ambulance/Petrol Vehicle,"Bike Over speed. 1-Minor, 2- non injured. Shifted to Ambulance Jalappa Hospital Kolar."
14,09/07/2017,19:45,skidding,2,2 & 3,fourlane,straight,junction,fine,Car over speed self accident,0,1,0,0,Petrol Vehicle,The injured person shifted to Private Hospital Hoskote
15,09/06/2015,15:50,others,3,2,fourlane,straight,junction,fine,T.T,0,0,0,0,Petrol Vehicle,T.T lost control by over speed (self accident)
16,09/06/2014,12:40,others,2 & 3 & 4,2,fourlane,straight,junction,fine,Car over speed,0,2,1,3,Ambulance/Petrol Vehicle,Shifted to Hospital
17,09/05/2017,05:00,skidding,2,9,fourlane,straight,junction,fine,Car self accident defect in mechanical condition,0,1,0,0,Ambulance/Petrol Vehicle,The injured person shifted to Govt Hospital Hoskote
18,09/05/2015,11:15,others,1,2 & 3 & 4,fourlane,slightcurve,junction,fine,Bike over speed and Vehicle out of control hit to the lorry,1,0,0,0,Ambulance/Petrol Vehicle,The fatal body shifted to MVJ Hospital
19,09/05/2014,10:00,others,1,2,fourlane,straight,junction,fine,Car,1,0,0,0,Ambulance/Petrol Vehicle,Due to over speed of car lost control and collided with MS Guardrail car self accident
20,09/05/2014,10:00,others,1,2,fourlane,straight,junction,fine,Over Speed of Car,1,0,0,0,Ambulance/Petrol Vehicle,Due Over Speed lost control
21,09/04/2016,12:55,overspeed,1,7,fourlane,slightcurve,junction,fine,Fault of road crossing pedestrian,1,0,0,0,Ambulance,The fatal body shifted to MVJ Hospital
22,09/04/2014,12:30,others,3,2,fourlane,straight,junction,fine,Car,0,0,1,2,Ambulance/Petrol Vehicle,Over speed of car rammed to auto rikshaw
23,09/03/2017,05:20,rearendcollision,2 & 3,2,fourlane,straight,junction,fine,Multi axle over speed and hit to car,0,2,2,0,Ambulance/Petrol Vehicle,The injured person shifted to Jalappa Hospital Kolar
24,09/03/2017,03:15,headoncollision,2,2 & 5,fourlane,straight,junction,fine,Truck over speed and hit LCV,0,2,0,0,Ambulance/Petrol Vehicle,The injured person shifted to Govt Hospital Avalahalli
25,09/03/2015,23:15,skidding,1 & 2 & 4,2 & 3 & 5,fourlane,straight,tjunction,fine,Tata Ace hit to the car,1,1,0,3,Ambulance/Petrol Vehicle,The fatal and injured person shifted to Jalappa Hospital
26,09/02/2017,15:00,overspeed,3,2 & 5,fourlane,straight,junction,fine,Car over speed and hit to Animal (Cow),0,0,1,0,Petrol Vehicle,The minor injured Animal and Traffic clear immediately
27,09/12/2017,23:35,skidding,1,2 & 3,fourlane,straight,junction,fine,Car over speed self accident,2,0,0,0,Ambulance/Petrol Vehicle,The fatal body shifted to Jalappa Hospital
28,09/12/2016,15:30,rightturncollision,2,2 & 4,fourlane,straight,junction,fine,Truck over speed and hit to Car,0,1,0,0,Petrol Vehicle,The injured person shifted to MVJ Hospital
29,09/12/2015,20:10,skidding,3,7,fourlane,straight,junction,fine,Fault of road crossing pedestrian,0,0,1,0,Petrol Vehicle,The injured person shifted to MVJ Hospital
30,09/11/2017,06:00,headoncollision,3,2 & 5,fourlane,straight,junction,fine,Truck over speed and hit to LCV,0,0,1,0,Petrol Vehicle,The injured person shifted to Jalappa Hospital Kolar
31,09/10/2015,16:30,others,1 & 2 & 4,2 & 3,fourlane,straight,junction,fine,Self accident Driver sleeping,1,1,0,2,Ambulance/Petrol Vehicle,The Fatal & Inured person shifted to Jalappa Hospital
32,09/01/2018,18:00,overspeed,2,7,fourlane,straight,junction,fine,Fault of Two wheeler over speed to crossing road,0,1,0,0,Ambulance,The injured person shifted to Private Hospital Hoskote
33,08/09/2015,14:35,headoncollision,2,2 & 5,fourlane,straight,junction,fine,Car over speed and hit to car,0,2,0,0,Ambulance/Petrol Vehicle,The injured person shifted to KR Puram Govt Hospital
